# l species scattering_weight beta_l
120 organic_carbon   2.729556486e-01 1.944493421e-06
121 organic_carbon   2.729556486e-01 1.786866038e-06
122 organic_carbon   2.729556486e-01 1.645888579e-06
123 organic_carbon   2.729556486e-01 1.510847380e-06
124 organic_carbon   2.729556486e-01 1.389955069e-06
125 organic_carbon   2.729556486e-01 1.274434076e-06
126 organic_carbon   2.729556486e-01 1.170887521e-06
127 organic_carbon   2.729556486e-01 1.072146829e-06
128 organic_carbon   2.729556486e-01 9.835629964e-07
129 organic_carbon   2.729556486e-01 8.991998807e-07
130 organic_carbon   2.729556486e-01 8.234360687e-07
131 organic_carbon   2.729556486e-01 7.513343952e-07
132 organic_carbon   2.729556486e-01 6.865147252e-07
133 organic_carbon   2.729556486e-01 6.248967109e-07
134 organic_carbon   2.729556486e-01 5.694417164e-07
135 organic_carbon   2.729556486e-01 5.168130581e-07
136 organic_carbon   2.729556486e-01 4.694250894e-07
137 organic_carbon   2.729556486e-01 4.245805384e-07
138 organic_carbon   2.729556486e-01 3.842764061e-07
139 organic_carbon   2.729556486e-01 3.463017051e-07
140 organic_carbon   2.729556486e-01 3.122792456e-07
141 organic_carbon   2.729556486e-01 2.803201069e-07
142 organic_carbon   2.729556486e-01 2.517128211e-07
143 organic_carbon   2.729556486e-01 2.248254123e-07
144 organic_carbon   2.729556486e-01 2.006850709e-07
145 organic_carbon   2.729556486e-01 1.779517164e-07
146 organic_carbon   2.729556486e-01 1.576170667e-07
147 organic_carbon   2.729556486e-01 1.387148529e-07
148 organic_carbon   2.729556486e-01 1.220626807e-07
149 organic_carbon   2.729556486e-01 1.066705444e-07
150 organic_carbon   2.729556486e-01 9.305370209e-08
151 organic_carbon   2.729556486e-01 8.039129756e-08
152 organic_carbon   2.729556486e-01 6.924121743e-08
153 organic_carbon   2.729556486e-01 5.900855121e-08
154 organic_carbon   2.729556486e-01 5.013941663e-08
155 organic_carbon   2.729556486e-01 4.207423725e-08
156 organic_carbon   2.729556486e-01 3.513871839e-08
157 organic_carbon   2.729556486e-01 2.888085481e-08
158 organic_carbon   2.729556486e-01 2.357522283e-08
159 organic_carbon   2.729556486e-01 1.886765740e-08
160 organic_carbon   2.729556486e-01 1.495830153e-08
161 organic_carbon   2.729556486e-01 1.156642133e-08
162 organic_carbon   2.729556486e-01 8.825889748e-09
163 organic_carbon   2.729556486e-01 6.524905365e-09
164 organic_carbon   2.729556486e-01 4.740779492e-09
165 organic_carbon   2.729556486e-01 3.315289636e-09
166 organic_carbon   2.729556486e-01 2.274426465e-09
167 organic_carbon   2.729556486e-01 1.493686296e-09
168 organic_carbon   2.729556486e-01 9.619193672e-10
169 organic_carbon   2.729556486e-01 5.892964864e-10
170 organic_carbon   2.729556486e-01 3.549438146e-10
171 organic_carbon   2.729556486e-01 2.030325623e-10
172 organic_carbon   2.729556486e-01 1.146104143e-10
173 organic_carbon   2.729556486e-01 6.091054679e-11
174 organic_carbon   2.729556486e-01 3.231396612e-11
175 organic_carbon   2.729556486e-01 1.578734165e-11
176 organic_carbon   2.729556486e-01 7.904366560e-12
